date,location,total_sqft,bhk,bath,price
2022-01-15,Madhapur,1200,2,2,4200000
2022-01-22,Gachibowli,1500,3,2,4800000
2022-01-08,Jubilee Hills,2000,4,3,11000000
2022-01-30,Kukatpally,1000,2,1,2000000
2022-02-12,Banjara Hills,1800,3,2,8500000
2022-02-19,Hitech City,1400,2,2,5500000
2022-02-05,Kondapur,1300,2,2,4600000
2022-02-27,Financial District,1600,3,2,6500000
2022-03-10,Manikonda,1100,2,1,3800000
2022-03-17,Miyapur,1000,2,1,3200000
2022-03-03,Secunderabad,1200,2,2,4100000
2022-03-25,Begumpet,1300,2,2,4400000
2022-04-14,SR Nagar,1000,2,1,3000000
2022-04-21,Ameerpet,900,2,1,2800000
2022-04-07,Panjagutta,1000,2,1,3100000
2022-04-30,Nampally,1100,2,1,3300000
2022-05-11,Madhapur,1200,2,2,4250000
2022-05-18,Gachibowli,1500,3,2,4850000
2022-05-04,Jubilee Hills,2000,4,3,11100000
2022-05-26,Kukatpally,1000,2,1,2050000
2022-05-11,Banjara Hills,1800,3,2,8550000
2022-05-18,Hitech City,1400,2,2,5550000
2022-05-04,Kondapur,1300,2,2,4650000
2022-05-26,Financial District,1600,3,2,6550000
2022-06-09,Manikonda,1100,2,1,3850000
2022-06-16,Miyapur,1000,2,1,3250000
2022-06-02,Secunderabad,1200,2,2,4150000
2022-06-23,Begumpet,1300,2,2,4450000
2022-07-07,SR Nagar,1000,2,1,3050000
2022-07-14,Ameerpet,900,2,1,2850000
2022-07-01,Panjagutta,1000,2,1,3150000
2022-07-21,Nampally,1100,2,1,3350000
2022-08-04,Madhapur,1200,2,2,4300000
2022-08-11,Gachibowli,1500,3,2,4900000
2022-07-28,Jubilee Hills,2000,4,3,11200000
2022-08-18,Kukatpally,1000,2,1,2100000
2022-08-04,Banjara Hills,1800,3,2,8600000
2022-08-11,Hitech City,1400,2,2,5600000
2022-07-28,Kondapur,1300,2,2,4700000
2022-08-18,Financial District,1600,3,2,6600000
2022-09-01,Manikonda,1100,2,1,3900000
2022-09-08,Miyapur,1000,2,1,3300000
2022-08-25,Secunderabad,1200,2,2,4200000
2022-09-15,Begumpet,1300,2,2,4500000
2022-10-06,SR Nagar,1000,2,1,3100000
2022-10-13,Ameerpet,900,2,1,2900000
2022-09-29,Panjagutta,1000,2,1,3200000
2022-10-20,Nampally,1100,2,1,3400000
2022-11-03,Madhapur,1200,2,2,4350000
2022-11-10,Gachibowli,1500,3,2,4950000
2022-10-27,Jubilee Hills,2000,4,3,11300000
2022-11-17,Kukatpally,1000,2,1,2150000
2022-11-03,Banjara Hills,1800,3,2,8650000
2022-11-10,Hitech City,1400,2,2,5650000
2022-10-27,Kondapur,1300,2,2,4750000
2022-11-17,Financial District,1600,3,2,6650000
2022-12-01,Manikonda,1100,2,1,3950000
2022-12-08,Miyapur,1000,2,1,3350000
2022-11-24,Secunderabad,1200,2,2,4250000
2022-12-15,Begumpet,1300,2,2,4550000
2022-12-01,SR Nagar,1000,2,1,3150000
2022-12-08,Ameerpet,900,2,1,2950000
2022-11-24,Panjagutta,1000,2,1,3250000
2022-12-15,Nampally,1100,2,1,3450000
2023-01-05,Madhapur,1200,2,2,4400000
2023-01-12,Gachibowli,1500,3,2,5000000
2022-12-29,Jubilee Hills,2000,4,3,11400000
2023-01-19,Kukatpally,1000,2,1,2200000
2023-01-05,Banjara Hills,1800,3,2,8700000
