date,location,total_sqft,bhk,bath,price
2022-01-15,Jubilee Hills,600,1,1,13851491
2022-01-22,Madhapur,800,1,1,9364298
2022-01-08,Gachibowli,700,1,1,7003454
2022-01-30,Kukatpally,650,1,1,4613150
2022-02-12,Jubilee Hills,800,1,1,19882595
2022-02-19,Madhapur,900,1,1,10048267
2022-02-05,Gachibowli,800,1,1,7252665
2022-02-27,Kukatpally,750,1,1,5086228
2022-03-10,Jubilee Hills,1200,2,2,32173875
2022-03-17,Madhapur,1200,2,2,13832920
2022-03-03,Gachibowli,1100,2,2,10164153
2022-03-25,Kukatpally,1000,2,2,6579804
2022-04-14,Jubilee Hills,1500,2,2,38079476
2022-04-21,Madhapur,1400,2,2,14788318
2022-04-07,Gachibowli,1300,2,2,13615920
2022-04-30,Kukatpally,1200,2,2,8521944
2022-05-11,Jubilee Hills,1800,3,3,44501563
2022-05-18,Madhapur,1700,3,3,18012209
2022-05-04,Gachibowli,1600,3,3,16953961
2022-05-26,Kukatpally,1500,3,3,10170542
2022-06-09,Jubilee Hills,2200,3,3,61671954
2022-06-16,Madhapur,2000,3,3,20774658
2022-06-02,Gachibowli,1900,3,3,20865745
2022-06-23,Kukatpally,1800,3,3,11051595
2022-07-07,Jubilee Hills,2500,4,4,68236948
2022-07-14,Madhapur,2400,4,4,26871820
2022-07-01,Gachibowli,2300,4,4,25862197
2022-07-21,Kukatpally,2200,4,4,13328801
2022-08-04,Jubilee Hills,3000,4,4,75497159
2022-08-11,Madhapur,2800,4,4,28683800
2022-07-28,Gachibowli,2700,4,4,27521025
2022-08-18,Kukatpally,2600,4,4,16686524
2022-09-01,Jubilee Hills,600,1,1,14708095
2022-09-08,Madhapur,800,1,1,8824217
2022-08-25,Gachibowli,700,1,1,7338964
2022-09-15,Kukatpally,650,1,1,4041198
2022-10-06,Jubilee Hills,1200,2,2,32940813
2022-10-13,Madhapur,1200,2,2,12508341
2022-09-29,Gachibowli,1100,2,2,10375733
2022-10-20,Kukatpally,1000,2,2,6543026
2022-11-03,Jubilee Hills,1800,3,3,43083488
2022-11-10,Madhapur,1700,3,3,20039007
2022-10-26,Gachibowli,1600,3,3,15275475
2022-11-17,Kukatpally,1500,3,3,11085235
2022-12-07,Jubilee Hills,2500,4,4,60215927
2022-12-14,Madhapur,2400,4,4,30079909
2022-11-30,Gachibowli,2300,4,4,22881374
2022-12-21,Kukatpally,2200,4,4,14041763
2023-01-05,Jubilee Hills,600,1,1,15971542
2023-01-12,Madhapur,800,1,1,9581099
2022-12-29,Gachibowli,700,1,1,8049589
2023-01-19,Kukatpally,650,1,1,4311146
2023-02-02,Jubilee Hills,1200,2,2,33104476
2023-02-09,Madhapur,1200,2,2,14489406
2023-01-26,Gachibowli,1100,2,2,11130156
2023-02-16,Kukatpally,1000,2,2,6609616
2023-03-02,Jubilee Hills,1800,3,3,51452597
2023-03-09,Madhapur,1700,3,3,19997337
2023-02-23,Gachibowli,1600,3,3,17179783
2023-03-16,Kukatpally,1500,3,3,10288133
2023-04-06,Jubilee Hills,2500,4,4,62755931
2023-04-13,Madhapur,2400,4,4,30302990
2023-03-30,Gachibowli,2300,4,4,25991072
2023-04-20,Kukatpally,2200,4,4,15614410
2023-05-04,Jubilee Hills,3000,4,4,87126585
2023-05-11,Madhapur,2800,4,4,32064603
2023-04-27,Gachibowli,2700,4,4,27739938
2023-05-18,Kukatpally,2600,4,4,17011824
2023-06-01,Jubilee Hills,600,1,1,17267181
2023-06-08,Madhapur,800,1,1,9375240
2023-05-25,Gachibowli,700,1,1,7142439
2023-06-15,Kukatpally,650,1,1,4311804
2023-07-06,Jubilee Hills,1200,2,2,34468088
2023-07-13,Madhapur,1200,2,2,15377730
2023-06-29,Gachibowli,1100,2,2,11210100
2023-07-20,Kukatpally,1000,2,2,7395710
2023-08-03,Jubilee Hills,1800,3,3,44928410
2023-08-10,Madhapur,1700,3,3,22085716
2023-07-27,Gachibowli,1600,3,3,17105942
2023-08-17,Kukatpally,1500,3,3,10313001
2023-09-07,Jubilee Hills,2500,4,4,72659139
2023-09-14,Madhapur,2400,4,4,26771849
2023-08-31,Gachibowli,2300,4,4,26555868
