date,location,total_sqft,bhk,bath,price
2022-01-15,Madhapur,1200,2,2,4200000
2022-01-22,Gachibowli,1500,3,2,4800000
2022-01-08,Jubilee Hills,2000,4,3,11000000
2022-01-30,Kukatpally,1000,2,1,2000000
2022-02-12,Madhapur,1200,2,2,4250000
2022-02-19,Gachibowli,1500,3,2,4850000
2022-02-05,Jubilee Hills,2000,4,3,11100000
2022-02-27,Kukatpally,1000,2,1,2050000
2022-03-10,Madhapur,1200,2,2,4300000
2022-03-17,Gachibowli,1500,3,2,4900000
2022-03-03,Jubilee Hills,2000,4,3,11200000
2022-03-25,Kukatpally,1000,2,1,2100000
2022-04-14,Madhapur,1200,2,2,4350000
2022-04-21,Gachibowli,1500,3,2,4950000
2022-04-07,Jubilee Hills,2000,4,3,11300000
2022-04-30,Kukatpally,1000,2,1,2150000
2022-05-11,Madhapur,1200,2,2,4400000
2022-05-18,Gachibowli,1500,3,2,5000000
2022-05-04,Jubilee Hills,2000,4,3,11400000
2022-05-26,Kukatpally,1000,2,1,2200000
2022-06-09,Madhapur,1200,2,2,4450000
2022-06-16,Gachibowli,1500,3,2,5050000
2022-06-02,Jubilee Hills,2000,4,3,11500000
2022-06-23,Kukatpally,1000,2,1,2250000
2022-07-07,Madhapur,1200,2,2,4500000
2022-07-14,Gachibowli,1500,3,2,5100000
2022-07-01,Jubilee Hills,2000,4,3,11600000
2022-07-21,Kukatpally,1000,2,1,2300000
2022-08-04,Madhapur,1200,2,2,4550000
2022-08-11,Gachibowli,1500,3,2,5150000
2022-07-28,Jubilee Hills,2000,4,3,11700000
2022-08-18,Kukatpally,1000,2,1,2350000
2022-09-01,Madhapur,1200,2,2,4600000
2022-09-08,Gachibowli,1500,3,2,5200000
2022-08-25,Jubilee Hills,2000,4,3,11800000
2022-09-15,Kukatpally,1000,2,1,2400000
2022-10-06,Madhapur,1200,2,2,4650000
2022-10-13,Gachibowli,1500,3,2,5250000
2022-09-29,Jubilee Hills,2000,4,3,11900000
2022-10-20,Kukatpally,1000,2,1,2450000
2022-11-03,Madhapur,1200,2,2,4700000
2022-11-10,Gachibowli,1500,3,2,5300000
2022-10-27,Jubilee Hills,2000,4,3,12000000
2022-11-17,Kukatpally,1000,2,1,2500000
2022-12-01,Madhapur,1200,2,2,4750000
2022-12-08,Gachibowli,1500,3,2,5350000
2022-11-24,Jubilee Hills,2000,4,3,12100000
2022-12-15,Kukatpally,1000,2,1,2550000
2023-01-05,Madhapur,1200,2,2,4800000
2023-01-12,Gachibowli,1500,3,2,5400000
2022-12-29,Jubilee Hills,2000,4,3,12200000
2023-01-19,Kukatpally,1000,2,1,2600000
2023-02-02,Madhapur,1200,2,2,4850000
2023-02-09,Gachibowli,1500,3,2,5450000
2023-01-26,Jubilee Hills,2000,4,3,12300000
2023-02-16,Kukatpally,1000,2,1,2650000
2023-03-02,Madhapur,1200,2,2,4900000
2023-03-09,Gachibowli,1500,3,2,5500000
2023-02-23,Jubilee Hills,2000,4,3,12400000
2023-03-16,Kukatpally,1000,2,1,2700000
2023-04-06,Madhapur,1200,2,2,4950000
2023-04-13,Gachibowli,1500,3,2,5550000
2023-03-30,Jubilee Hills,2000,4,3,12500000
2023-04-20,Kukatpally,1000,2,1,2750000
2023-05-04,Madhapur,1200,2,2,5000000
2023-05-11,Gachibowli,1500,3,2,5600000
2023-04-27,Jubilee Hills,2000,4,3,12600000
