date,location,total_sqft,bhk,bath,price
2022-01-01,Madhapur,1200,2,2,4200000
2022-01-01,Gachibowli,1500,3,2,4800000
2022-01-01,Jubilee Hills,2000,4,3,11000000
2022-01-01,Kukatpally,1000,2,1,2000000
2022-02-01,Madhapur,1200,2,2,4250000
2022-02-01,Gachibowli,1500,3,2,4850000
2022-02-01,Jubilee Hills,2000,4,3,11100000
2022-02-01,Kukatpally,1000,2,1,2050000
2022-03-01,Madhapur,1200,2,2,4300000
2022-03-01,Gachibowli,1500,3,2,4900000
2022-03-01,Jubilee Hills,2000,4,3,11200000
2022-03-01,Kukatpally,1000,2,1,2100000
2022-04-01,Madhapur,1200,2,2,4350000
2022-04-01,Gachibowli,1500,3,2,4950000
2022-04-01,Jubilee Hills,2000,4,3,11300000
2022-04-01,Kukatpally,1000,2,1,2150000
2022-05-01,Madhapur,1200,2,2,4400000
2022-05-01,Gachibowli,1500,3,2,5000000
2022-05-01,Jubilee Hills,2000,4,3,11400000
2022-05-01,Kukatpally,1000,2,1,2200000
2022-06-01,Madhapur,1200,2,2,4450000
2022-06-01,Gachibowli,1500,3,2,5050000
2022-06-01,Jubilee Hills,2000,4,3,11500000
2022-06-01,Kukatpally,1000,2,1,2250000
2022-07-01,Madhapur,1200,2,2,4500000
2022-07-01,Gachibowli,1500,3,2,5100000
2022-07-01,Jubilee Hills,2000,4,3,11600000
2022-07-01,Kukatpally,1000,2,1,2300000
2022-08-01,Madhapur,1200,2,2,4550000
2022-08-01,Gachibowli,1500,3,2,5150000
2022-08-01,Jubilee Hills,2000,4,3,11700000
2022-08-01,Kukatpally,1000,2,1,2350000
2022-09-01,Madhapur,1200,2,2,4600000
2022-09-01,Gachibowli,1500,3,2,5200000
2022-09-01,Jubilee Hills,2000,4,3,11800000
2022-09-01,Kukatpally,1000,2,1,2400000
2022-10-01,Madhapur,1200,2,2,4650000
2022-10-01,Gachibowli,1500,3,2,5250000
2022-10-01,Jubilee Hills,2000,4,3,11900000
2022-10-01,Kukatpally,1000,2,1,2450000
2022-11-01,Madhapur,1200,2,2,4700000
2022-11-01,Gachibowli,1500,3,2,5300000
2022-11-01,Jubilee Hills,2000,4,3,12000000
