date,location,total_sqft,bhk,bath,price
2023-01-01,Madhapur,1200,2,2,4500000
2023-01-01,Gachibowli,1500,3,2,5200000
2023-01-01,Jubilee Hills,2000,4,3,12000000
2023-01-01,Kukatpally,1000,2,1,2200000
2023-02-01,Madhapur,1200,2,2,4550000
2023-02-01,Gachibowli,1500,3,2,5300000
2023-02-01,Jubilee Hills,2000,4,3,12200000
2023-02-01,Kukatpally,1000,2,1,2250000
2023-03-01,Madhapur,1200,2,2,4600000
2023-03-01,Gachibowli,1500,3,2,5400000
2023-03-01,Jubilee Hills,2000,4,3,12400000
2023-03-01,Kukatpally,1000,2,1,2300000
2023-04-01,Madhapur,1200,2,2,4680000
2023-04-01,Gachibowli,1500,3,2,5500000
2023-04-01,Jubilee Hills,2000,4,3,12600000
2023-04-01,Kukatpally,1000,2,1,2380000
2023-05-01,Madhapur,1200,2,2,4750000
2023-05-01,Gachibowli,1500,3,2,5600000
2023-05-01,Jubilee Hills,2000,4,3,12800000
2023-05-01,Kukatpally,1000,2,1,2450000
2023-06-01,Madhapur,1200,2,2,4820000
2023-06-01,Gachibowli,1500,3,2,5700000
2023-06-01,Jubilee Hills,2000,4,3,13000000
2023-06-01,Kukatpally,1000,2,1,2520000
2023-07-01,Madhapur,1200,2,2,4900000
2023-07-01,Gachibowli,1500,3,2,5800000
2023-07-01,Jubilee Hills,2000,4,3,13200000
2023-07-01,Kukatpally,1000,2,1,2600000
2023-08-01,Madhapur,1200,2,2,4980000
2023-08-01,Gachibowli,1500,3,2,5900000
2023-08-01,Jubilee Hills,2000,4,3,13400000
2023-08-01,Kukatpally,1000,2,1,2680000
2023-09-01,Madhapur,1200,2,2,5050000
2023-09-01,Gachibowli,1500,3,2,6000000
2023-09-01,Jubilee Hills,2000,4,3,13600000
2023-09-01,Kukatpally,1000,2,1,2750000
2023-10-01,Madhapur,1200,2,2,5120000
2023-10-01,Gachibowli,1500,3,2,6100000
2023-10-01,Jubilee Hills,2000,4,3,13800000
2023-10-01,Kukatpally,1000,2,1,2820000
2023-11-01,Madhapur,1200,2,2,5180000
2023-11-01,Gachibowli,1500,3,2,6200000
2023-11-01,Jubilee Hills,2000,4,3,14000000
2023-11-01,Kukatpally,1000,2,1,2900000
2023-12-01,Madhapur,1200,2,2,5250000
2023-12-01,Gachibowli,1500,3,2,6300000
2023-12-01,Jubilee Hills,2000,4,3,14200000
2023-12-01,Kukatpally,1000,2,1,3000000
2024-01-01,Madhapur,1200,2,2,5320000
2024-01-01,Gachibowli,1500,3,2,6400000
2024-01-01,Jubilee Hills,2000,4,3,14400000
2024-01-01,Kukatpally,1000,2,1,3080000
2024-02-01,Madhapur,1200,2,2,5400000
2024-02-01,Gachibowli,1500,3,2,6500000
2024-02-01,Jubilee Hills,2000,4,3,14600000
2024-02-01,Kukatpally,1000,2,1,3160000
