location,total_sqft,bhk,bath,price
Kondapur,979,4,4,3800403
Financial District,1311,3,2,9968823
Gachibowli,1293,1,2,4974961
Madhapur,1296,3,3,4160780
Financial District,1099,3,3,7078860
Banjara Hills,982,3,2,9087168
Kondapur,600,1,1,2522693
Kondapur,1652,2,2,6280398
Gachibowli,693,3,3,3052807
Hitech City,600,4,4,2783271
Manikonda,1514,5,6,5928937
Gachibowli,2136,5,5,9372472
Miyapur,862,1,1,1783511
Madhapur,1432,3,3,7306427
Jubilee Hills,1284,4,5,16796189
Gachibowli,1101,3,3,3683645
Manikonda,1383,2,3,2894387
Kukatpally,1344,4,4,2779988
Miyapur,954,3,3,2243783
Kondapur,2253,3,2,6864906
Kondapur,1791,2,1,5946883
Kukatpally,1400,4,5,2761750
Banjara Hills,1238,4,5,12911345
Kondapur,1096,3,2,4221206
Miyapur,851,3,3,1763189
Madhapur,1062,4,4,4207506
Manikonda,822,5,6,2788937
Kondapur,600,2,1,2151409
Madhapur,1174,1,1,5557495
Madhapur,970,3,4,4089514
Kondapur,1657,2,2,6638531
Manikonda,1342,2,3,3746561
Madhapur,1211,3,4,4471856
Banjara Hills,1203,2,2,10352706
Banjara Hills,1142,3,4,11360119
Miyapur,1057,3,4,2565920
Miyapur,600,5,6,1367986
Jubilee Hills,1303,2,2,17482466
Kukatpally,1085,4,5,2115639
Madhapur,1317,1,1,5292379
Gachibowli,600,5,4,1994758
Banjara Hills,899,3,3,6797703
Kondapur,816,3,3,3424652
Hitech City,844,5,5,4074888
Hitech City,1143,2,2,7112910
Madhapur,1450,2,1,5687103
Madhapur,600,4,4,2601530
Jubilee Hills,1150,5,6,15337132
Madhapur,1113,2,2,4651522
Kukatpally,1285,4,4,1756275
Manikonda,740,2,2,2506974
Financial District,1548,3,3,11858264
Financial District,1406,4,5,9994859
Financial District,977,4,3,6328677
Gachibowli,1266,1,1,4171105
Hitech City,1034,1,2,5756455
Hitech City,600,4,4,3510882
Jubilee Hills,1684,2,2,19751443
Kukatpally,1745,5,5,3296748
Kukatpally,935,3,2,1772191
